Top 150,NTD ID,Agency,Mode,TOS,Month,Year,Estimated UPT
N,00006,City of Yakima,CB,PT,3/2026,2026,"1,665 "
N,00006,City of Yakima,DR,PT,3/2026,2026,"4,637 "
N,00006,City of Yakima,MB,DO,3/2026,2026,"62,845 "
Y,00040,Central Puget Sound Regional Transit Authority,CB,DO,3/2026,2026,"713,958 "
N,00415,Ada County Highway District,VP,DO,3/2026,2026,"12,813 "
Y,10004,Brockton Area Transit Authority,DR,PT,3/2026,2026,"10,390 "
Y,10004,Brockton Area Transit Authority,MB,PT,3/2026,2026,"252,275 "
N,10016,Greater Portland Transit District,MB,DO,3/2026,2026,"153,478 "
Y,10102,Connecticut Department of Transportation,CB,PT,3/2026,2026,"18,741 "
Y,10102,Connecticut Department of Transportation,CR,PT,3/2026,2026,"20,463 "
N,11239,"Hyannis Harbor Tours, Inc. ",FB,DO,3/2026,2026,"45,426 "
Y,20080,New Jersey Transit Corporation,CR,DO,3/2026,2026,"4,840,559 "
Y,20080,New Jersey Transit Corporation,LR,DO,3/2026,2026,"410,215 "
Y,20080,New Jersey Transit Corporation,LR,PT,3/2026,2026,"1,138,022 "
Y,20080,New Jersey Transit Corporation,MB,DO,3/2026,2026,"10,485,949 "
Y,20080,New Jersey Transit Corporation,MB,PT,3/2026,2026,"295,158 "
Y,20080,New Jersey Transit Corporation,YR,DO,3/2026,2026,"125,374 "
Y,20098,Port Authority Trans-Hudson Corporation,HR,DO,3/2026,2026,"5,735,050 "
N,20199,County of Atlantic,DR,DO,3/2026,2026,"5,662 "
N,20199,County of Atlantic,MB,PT,3/2026,2026,864 
N,20209,Somerset County,DR,DO,3/2026,2026,"9,807 "
N,20209,Somerset County,MB,DO,3/2026,2026,"4,275 "
N,20217,"Hampton Jitney, Inc.",CB,DO,3/2026,2026,"37,377 "
N,30015,Luzerne County Transportation Authority,MB,DO,3/2026,2026,"65,820 "
Y,30022,Pittsburgh Regional Transit,DR,PT,3/2026,2026,"74,651 "
Y,30022,Pittsburgh Regional Transit,IP,DO,3/2026,2026,"8,993 "
Y,30022,Pittsburgh Regional Transit,LR,DO,3/2026,2026,"231,105 "
Y,30022,Pittsburgh Regional Transit,MB,DO,3/2026,2026,"3,163,354 "
Y,30034,Maryland Transit Administration,DR,TX,3/2026,2026,"224,821 "
Y,30034,Maryland Transit Administration,LR,DO,3/2026,2026,"517,980 "
N,30044,Westmoreland County Transit Authority,DR,DO,3/2026,2026,"15,232 "
N,30044,Westmoreland County Transit Authority,MB,DO,3/2026,2026,"17,011 "
N,30058,City of Fairfax,MB,DO,3/2026,2026,"66,604 "
N,30080,"Arlington County, Virginia",DR,PT,3/2026,2026,"3,686 "
N,30080,"Arlington County, Virginia",MB,PT,3/2026,2026,"212,626 "
N,30085,"Prince George's County, Maryland",DR,DO,3/2026,2026,"3,679 "
N,30085,"Prince George's County, Maryland",DR,TN,3/2026,2026,201 
N,30106,National Capital Region Transportation Planning Board,VP,PT,3/2026,2026,"16,628 "
N,30129,Anne Arundel County,DR,PT,3/2026,2026,"4,424 "
N,30129,Anne Arundel County,MB,PT,3/2026,2026,"30,166 "
N,30205,"Transit Management of Central Maryland, Inc.",MB,DO,3/2026,2026,"77,925 "
Y,40004,Metropolitan Transit Authority,DR,TX,3/2026,2026,"13,141 "
N,40019,Transit Authority of Northern Kentucky,DR,DO,3/2026,2026,"5,734 "
N,40019,Transit Authority of Northern Kentucky,MB,DO,3/2026,2026,"147,869 "
N,40021,City of Albany ,MB,DO,3/2026,2026,"28,458 "
N,40025,Chatham Area Transit Authority,DR,DO,3/2026,2026,"7,010 "
N,40025,Chatham Area Transit Authority,FB,DO,3/2026,2026,"60,629 "
N,40025,Chatham Area Transit Authority,MB,DO,3/2026,2026,"124,581 "
N,40036,City of Tallahassee,DR,DO,3/2026,2026,"2,318 "
N,40036,City of Tallahassee,DR,PT,3/2026,2026,"2,200 "
